dataset,RSF_c_index,RSF_ibs,RSF_mean_auc,CoxPH_c_index,CoxPH_ibs,CoxPH_mean_auc,DeepHit_c_index,DeepHit_ibs,DeepHit_mean_auc,DeepSurv_c_index,DeepSurv_ibs,DeepSurv_mean_auc,TabPFN_c_index,TabPFN_ibs,TabPFN_mean_auc
breast,0.7631578947368421,0.2084326241599683,0.788525186309181,0.8157894736842105,0.2031609842325769,0.8316326530612245,0.6052631578947368,0.1932467984864092,0.4971192261965233,0.8157894736842105,0.2217036454374961,0.8316326530612245,0.8158,0.2485,0.8316
burn,0.4090909090909091,0.213931787706162,0.334153703183395,0.5340909090909091,0.213846941031067,0.4795878069107274,0.5,0.17568002907327,0.4711079848741492,0.4659090909090909,0.2332103859057409,0.4329270332087097,0.625,0.1699,0.6603
cancer,0.5762331838565022,0.2246522023708905,0.5659953739163922,0.5493273542600897,0.2640875401276556,0.5074294982868881,0.3991031390134529,0.2409042869270181,0.3868063719981508,0.5089686098654709,0.2566768390256883,0.4868001658456206,0.5717,0.2504,0.5409
cgd,0.6785714285714286,0.1411268697529868,0.753898562911534,0.75,0.1281050501383736,0.7820085464704539,0.5238095238095238,0.2660906144669506,0.5832544932917906,0.5714285714285714,0.1572150246798748,0.6346285406363472,0.5714,0.1573,0.5551
colon,0.6012521588946459,0.2073147645370908,0.6148488951729684,0.5998128957973518,0.2049762586586527,0.6222712237747832,0.5010794473229706,0.2341871831016931,0.5106464614377898,0.6012521588946459,0.2085394911485707,0.6276921007817305,0.5943,0.2235,0.5922
cost,0.6616672479944192,0.18232363048688,0.7210084225414821,0.6853854202999651,0.1759004113822748,0.7618015304757213,0.6853854202999651,0.2050329334417933,0.7506386922662737,0.6672479944192535,0.183880515529236,0.7353558067459097,0.6815,0.19,0.7458
d.oropha.rec,0.672316384180791,0.1781518747479031,0.7306725057869855,0.6977401129943502,0.1756969577491771,0.7640782016681724,0.556497175141243,0.2193678480781195,0.53385746776949,0.5875706214689266,0.1984323966394329,0.6213924651522205,0.6215,0.2206,0.6737
dataDIVAT1,0.6520190875984428,0.1230165340180694,0.6852097369697286,0.6753045225409469,0.1158139639585745,0.749085632458834,0.6423497120714708,0.1195965899103569,0.7267848270676267,0.6732414832355632,0.1161796531195409,0.7378770232570238,0.595,0.1239,0.7437
dataDIVAT2,0.5998390927898245,0.1797370882011705,0.604241014399664,0.617232395984982,0.1671223208842096,0.6510074109196681,0.6032104819554057,0.1788782303816776,0.6202632035305455,0.6344724542180675,0.1668321331678979,0.6612851281226036,0.6231,0.2017,0.656
dataDIVAT3,0.6381727725011307,0.0533434718456567,0.646614987953881,0.7036785768129051,0.0509165125817623,0.7013676306394855,0.5294738429066788,0.0459830957151696,0.6830659872318131,0.682345846524951,0.0510442090441686,0.6918056125836137,0.5526,0.0578,0.695
dataOvarian1,0.6215174347292798,0.1814987158046133,0.666366293818975,0.6173120728929385,0.2059442078742523,0.671461624338787,0.5961100403013843,0.2824050329164476,0.6486888096541061,0.6272998072542492,0.1879121344283049,0.6788236764434344,0.6213,0.2357,0.6822
diabetes,0.6788211788211789,0.1790629195904829,0.7280319333048404,0.5494505494505495,0.1999646994944779,0.5803604076645495,0.5504495504495505,0.2234170339208619,0.5484320180564004,0.5884115884115884,0.1918221752818245,0.6140482222854731,0.5894,0.245,0.6364
e1684,0.5504413619167717,0.2303920774414801,0.567032234981811,0.587641866330391,0.1989495596201752,0.6441137511165372,0.4110970996216898,0.2675610872841472,0.3821297271829014,0.4930643127364439,0.2674784058672554,0.502836833056623,0.5334,0.2064,0.5514
follic,0.5922901633118116,0.2002531714505787,0.6199313703808997,0.6348271933156096,0.1900082558803705,0.6760031478320135,0.5660843144701861,0.2260290233678954,0.6177108424004357,0.6325484238511204,0.1921777374674287,0.6736728150850689,0.6189,0.2021,0.6605
glioma,0.8571428571428571,0.1882799672290747,0.8581511839708561,0.7857142857142857,0.1791897073435637,0.7718579234972676,0.5714285714285714,0.2385882142364787,0.6300091074681238,0.6428571428571429,0.2269274624551619,0.7163023679417122,0.7143,0.2374,0.7163
grace,0.654281098546042,0.2552019813535544,0.6229046821114832,0.6219709208400647,0.2640473896817583,0.5765453125392608,0.6289714593430263,0.1638813441736911,0.6027444150041744,0.6359719978459881,0.2954843185222255,0.6139773438575735,0.6134,0.301,0.5764
hepatoCellular,0.6467391304347826,0.1684892817495846,0.719667025362155,0.7336956521739131,0.1569945552703888,0.8145904127980873,0.5842391304347826,0.200821014115594,0.6585146423157948,0.6630434782608695,0.1921916119725519,0.7096122272106304,0.6929,0.2286,0.737
mgus,0.6953242835595776,0.1387532782678182,0.8146141130702113,0.7134238310708899,0.1401422837398265,0.8286023073585607,0.6410256410256411,0.1577125498009156,0.7257773622991265,0.6968325791855203,0.1611531220528227,0.7951277964704451,0.727,0.1376,0.8305
nki70,0.752,0.1795984750255452,0.813988842252868,0.48,0.2986589319220741,0.5560516981233536,0.728,0.1951937072254304,0.8022310630790939,0.688,0.2328627767552599,0.6957276832284784,0.832,0.1934,0.8643
nwtco,0.6981365507576421,0.103700903695916,0.7169546428961291,0.7199132872032933,0.1043475057886684,0.7293581585112645,0.5713190855741438,0.1113778953670031,0.5996725219935731,0.7024174476657615,0.105482025961037,0.7085169622484135,0.6544,0.2004,0.6916
ova,0.6787313432835821,0.1770734929427314,0.7456047806984777,0.6847014925373134,0.1774517633958925,0.7685873357060468,0.5279850746268657,0.2342008084535542,0.512994228685479,0.6593283582089552,0.1790872028865518,0.7206090357541672,0.6698,0.2717,0.748
ovarian,1.0,0.1395049405330612,1.0,1.0,0.1364585744204915,1.0,0.0,0.2550657120847305,0.0,1.0,0.0961549594494778,1.0,0.5,0.3592,0.5
pbc,0.8164794007490637,0.1481657159063573,0.7988599409626319,0.7940074906367042,0.1536390797740807,0.7989573086765229,0.5,0.1981033469899682,0.5446229025807037,0.8033707865168539,0.1608617296490995,0.7854576730744135,0.8221,0.1351,0.8423
pharmacoSmoking,0.6395348837209303,0.2357657966313791,0.7411690873229334,0.6627906976744186,0.2416670234800168,0.7371406371406369,0.4534883720930232,0.4012298387981737,0.4540269559500328,0.6627906976744186,0.2565857550671748,0.7229992229992229,0.6744,0.3599,0.7468
phpl04K8a,0.6208684381075826,0.2124522261514205,0.6681795213915401,0.6195722618276086,0.2031831405243534,0.6672335704112458,0.5456902138690862,0.2318908180817035,0.5699610326249952,0.5482825664290344,0.2629187022703658,0.5513669816788956,0.501,0.2577,0.508
prostate,0.5859922178988327,0.2103573616320738,0.6113685383308155,0.6085603112840466,0.2077020489031059,0.6469672984199124,0.5081712062256809,0.2202639025900132,0.5301593198858099,0.51284046692607,0.2294506710135312,0.5222997565089013,0.6195,0.2268,0.6622
rdata,0.6866574490148635,0.1832104636769595,0.7184048277824172,0.6986980066827976,0.1782218990959977,0.7404637436515251,0.6860237354533932,0.1977113187287723,0.7216164937702672,0.693973960133656,0.180014519557442,0.7314113380931364,0.7053,0.2249,0.7469
retinopathy,0.6914257228315055,0.181181846401093,0.7366077197857125,0.5707876370887338,0.1962801199841787,0.6037342652288838,0.503988035892323,0.2304028917776363,0.491800323257998,0.5518444666001994,0.266227880956608,0.5734606979784043,0.6386,0.2086,0.734
rhc,0.7078735159116593,0.20122389725181,0.7458870644903749,0.694511489041115,0.2092575251565993,0.733041559618729,0.667749068738926,0.2561557254635766,0.7048350824667972,0.6892761973854933,0.227543077675507,0.7297731798957445,0.711,0.3196,0.7478
scania,0.5847971266625512,0.1751151319122638,0.5949715928519174,0.5544082159492676,0.1676392060270106,0.4927936140150476,0.561984398675571,0.1648805037377781,0.5411542536198004,0.5289297940400696,0.1689323344614624,0.5113334390685164,0.5224,0.1593,0.6209
smarto,0.650459467621554,0.0959656476765594,0.6375162743423536,0.6405366926959748,0.096895533461157,0.6307537871059523,0.5691789982311575,0.1157300831782321,0.5937814717423678,0.6176711678674662,0.1026905067706635,0.622832066966036,0.5642,0.0965,0.6226
stagec,0.7054263565891473,0.1699607167978095,0.7414313499551208,0.7751937984496124,0.1604821782600305,0.7624547362910078,0.6356589147286822,0.1932902429481282,0.5465182558353403,0.6511627906976745,0.1764621166462669,0.5949305365782155,0.6822,0.1882,0.6876
uis,0.633851869050383,0.1790348768958575,0.6942816549752139,0.6182957975388902,0.1774970794796127,0.6684857303710582,0.5688414209426514,0.2900657521636149,0.5964209816334671,0.5709310424889714,0.1948935098457548,0.5901240090721597,0.6097,0.234,0.6521
veteran,0.7596153846153846,0.1501878794881659,0.8556203215819277,0.7307692307692307,0.1646182062432185,0.8215703009821368,0.5432692307692307,0.2841978535129211,0.5590219183314055,0.6394230769230769,0.261699595276824,0.6234840050285699,0.6538,0.199,0.7276
vlbw,0.9076233183856502,0.0817601888375937,0.8817521385205758,0.8197309417040358,0.0991749203280957,0.8267438276967811,0.8654708520179372,0.1479986040693311,0.8479078144895504,0.884304932735426,0.0925299434292478,0.8489529056684785,0.9004,0.0869,0.8697
whas500,0.8043130990415336,0.1661487062734263,0.8141307403586752,0.8314696485623003,0.1507437962598513,0.8457053943716436,0.8154952076677316,0.197028367473943,0.8203542576523112,0.8426517571884984,0.1497140448063045,0.8592256815857933,0.7452,0.205,0.7828
zinc,0.6782334384858044,0.1752327079449488,0.7069393310032692,0.580441640378549,0.212171944313328,0.5979445307664446,0.6971608832807571,0.2031380361914267,0.706954929108468,0.7034700315457413,0.1980081525178373,0.71850140777477,0.6909,0.2015,0.7203
